epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,471.043,0.00462,0.01094,0.85849,0.71985,0.92776,0.66664,0.68245,0.60842,0.85543,0.66356,0.67544,0.57988,0.00417,0.00937,0.62663,0.55602,0.000477373,0.000477373,0.000477373
31,486.153,0.00476,0.01147,0.89618,0.73156,0.9499,0.6736,0.68291,0.61932,0.92605,0.66746,0.67779,0.59161,0.00397,0.00864,0.56998,0.54603,0.000440046,0.000440046,0.000440046
32,501.402,0.00454,0.01104,0.82509,0.71093,0.95634,0.67647,0.68598,0.61762,0.91239,0.66701,0.68019,0.59422,0.0039,0.00882,0.53574,0.53976,0.000403473,0.000403473,0.000403473
33,516.969,0.00449,0.01109,0.83966,0.7213,0.934,0.67922,0.68476,0.61713,0.91593,0.66781,0.67969,0.59298,0.00402,0.0084,0.54908,0.55015,0.000367799,0.000367799,0.000367799
34,532.733,0.00455,0.01102,0.81744,0.71421,0.98668,0.67113,0.68343,0.61698,0.93711,0.66642,0.67845,0.59044,0.00381,0.00852,0.53527,0.54202,0.000333165,0.000333165,0.000333165
35,548.891,0.00443,0.01091,0.81738,0.71427,0.9624,0.67676,0.6843,0.61682,0.89943,0.67424,0.67974,0.60146,0.0038,0.00836,0.52874,0.53552,0.000299707,0.000299707,0.000299707
36,564.524,0.00414,0.01043,0.75479,0.70128,0.98443,0.67782,0.68573,0.62554,0.92844,0.67586,0.68075,0.59257,0.00364,0.00816,0.49699,0.53024,0.000267558,0.000267558,0.000267558
37,580.108,0.00437,0.01044,0.79526,0.70109,0.98512,0.67687,0.68541,0.62593,0.93902,0.67508,0.6801,0.59304,0.00361,0.00816,0.51124,0.52288,0.000236844,0.000236844,0.000236844
38,597.042,0.00416,0.0107,0.78051,0.70068,0.9886,0.67778,0.6869,0.6343,0.93912,0.67605,0.68238,0.59787,0.00338,0.00825,0.48456,0.51056,0.000207686,0.000207686,0.000207686
39,613.646,0.00406,0.01086,0.73183,0.68926,0.98838,0.67808,0.68351,0.63038,0.94743,0.67543,0.67947,0.59771,0.00335,0.00808,0.47921,0.50752,0.000180201,0.000180201,0.000180201
40,630.151,0.00387,0.01009,0.68745,0.68583,0.98426,0.67863,0.68418,0.62831,0.93446,0.67597,0.67974,0.59607,0.00334,0.00796,0.47447,0.50689,0.000154495,0.000154495,0.000154495
41,647.258,0.0033,0.00909,0.54473,0.66511,0.99342,0.67823,0.68362,0.62636,0.93986,0.67628,0.67961,0.59427,0.00331,0.008,0.47493,0.50607,0.000130671,0.000130671,0.000130671
42,661.782,0.00319,0.00933,0.51067,0.659,0.99354,0.6776,0.68539,0.63133,0.93768,0.67566,0.68011,0.59314,0.00327,0.00796,0.46105,0.50328,0.000108822,0.000108822,0.000108822
43,676.517,0.00311,0.00917,0.4911,0.65572,0.99641,0.67809,0.68651,0.63673,0.9438,0.67627,0.68168,0.60013,0.00321,0.00797,0.45877,0.49937,8.90352e-05,8.90352e-05,8.90352e-05
44,691.532,0.0031,0.00913,0.4791,0.64895,0.98667,0.67906,0.6862,0.64263,0.91893,0.67641,0.68071,0.60391,0.00323,0.00783,0.45633,0.50391,7.13883e-05,7.13883e-05,7.13883e-05
45,707.393,0.00302,0.00878,0.47615,0.64697,0.99107,0.67867,0.68805,0.63996,0.93794,0.67666,0.68279,0.60015,0.00321,0.00773,0.45333,0.50137,5.59508e-05,5.59508e-05,5.59508e-05
46,722.047,0.00316,0.00896,0.4773,0.65488,0.99153,0.67897,0.68873,0.64301,0.93858,0.6769,0.68336,0.5997,0.00315,0.00764,0.44433,0.49499,4.27838e-05,4.27838e-05,4.27838e-05
47,737.354,0.00305,0.00884,0.45975,0.6493,0.99323,0.67899,0.68938,0.64316,0.94213,0.67701,0.68391,0.601,0.00312,0.00761,0.43607,0.49282,3.19392e-05,3.19392e-05,3.19392e-05
48,753.276,0.00302,0.00872,0.4592,0.64773,0.99228,0.679,0.6894,0.64523,0.93858,0.67689,0.6837,0.60372,0.00308,0.00761,0.43011,0.49054,2.34598e-05,2.34598e-05,2.34598e-05
49,770.631,0.00298,0.00875,0.45485,0.65167,0.99163,0.67904,0.68964,0.64574,0.93568,0.67681,0.68396,0.60479,0.00306,0.00757,0.42704,0.49,1.7379e-05,1.7379e-05,1.7379e-05
50,787.713,0.00296,0.0087,0.45604,0.64425,0.9931,0.67888,0.69018,0.64761,0.94072,0.6768,0.68452,0.60628,0.00304,0.00757,0.42416,0.48863,1.3721e-05,1.3721e-05,1.3721e-05
